ID,AssessmentName,TotalMarks,PassMarks,Course_ID


"b9612e59-7480-451d-8634-481926ab24c7","CAPM Fundamentals Test","100","40","7733d32c-1ed8-48aa-ac32-381e30842083"
"10427bb5-423b-4d1c-a092-e68a3b235d10","CAPM Fundamentals Test","100","40","57c3601d-1b7b-4ed7-9449-333f3cdee436"
"9b676ffc-cafa-41a1-b156-6770fadeb981","Fiori Fundamentals Test","100","30","8fb8b33d-102a-4381-b250-59b1a912306b"
"0f1c00ee-b634-400b-bfe6-3dad129d19a7","Fiori Assessment","100","70","4e6b47cf-d1bd-4309-b175-dc7ab4eb103e"
"7c7c51be-b332-4852-8c71-470b435c6ec4","Fiori Assessment","100","70","79d8c4c5-2bea-4dfa-9d1e-febd25b49e97"
"26e4de1c-8c21-4092-a4ed-a4ec7bd5cdd7","Assessment","100","30","79d8c4c5-2bea-4dfa-9d1e-febd25b49e97"
"b37a0829-6795-42ce-8c4a-ea021a61a56f","Assessment","100","30","c4ffd1ab-e123-4b97-ab24-239b3d850cf6"
"d7fd768c-b9be-4f1c-9e28-71f04009aeef","Assessment","100","40","88c3fd09-1dde-451f-baba-c2c43d091429"
"14f32c8d-3e95-4fca-ac00-346a041cce0a","CAPM Fundamentals Test","100","40","7b071e20-c024-40ef-ad1f-1d561cfc7da5"

