createdAt,createdBy,modifiedAt,modifiedBy,ID,ObtainedMarks,Result,Enrollment_ID

"2026-05-26 08:01:20.772000000","parvathi.v@laderatechnology.com","2026-05-26 08:01:20.772000000","parvathi.v@laderatechnology.com","308a853e-3ed7-4a47-a33a-f93d71cd4338","80","PASS","a7179b6b-5566-465a-a955-de2f0bb3744e"
"2026-05-26 11:03:49.074000000","parvathi.v@laderatechnology.com","2026-05-26 11:03:49.074000000","parvathi.v@laderatechnology.com","cc045c1a-904e-4727-8264-772c64f79744","80","PASS","987c5b8a-336c-4289-9f89-3a61b7c22cb2"
"2026-05-27 07:55:14.545000000","parvathi.v@laderatechnology.com","2026-05-27 07:55:14.545000000","parvathi.v@laderatechnology.com","0cd5e2d6-1c43-4d54-b681-d45fc3f75d7c","80","PASS","a1834265-989d-496d-bef0-47c492e82e98"
"2026-05-27 09:53:16.416000000","parvathi.v@laderatechnology.com","2026-05-27 09:53:16.416000000","parvathi.v@laderatechnology.com","56baf593-afd9-4dd0-a325-85d11a95deca","70","PASS","343ce4c7-e029-43cc-b1a2-64c0653d739f"
"2026-05-27 10:05:33.574000000","parvathi.v@laderatechnology.com","2026-05-27 10:05:33.574000000","parvathi.v@laderatechnology.com","1b7073f8-67f2-476b-97f7-8a9cb3e9c108","80","PASS","ef3b2849-421f-4c4e-ae5e-9085a866bad3"
"2026-05-27 10:10:42.220000000","parvathi.v@laderatechnology.com","2026-05-27 10:10:42.220000000","parvathi.v@laderatechnology.com","60bebea7-e6e4-4629-bac1-c23ec78edb4e","90","PASS","fa7199d8-13ce-4942-853c-701087f931db"
"2026-05-28 07:43:12.066000000","parvathi.v@laderatechnology.com","2026-05-28 07:43:12.066000000","parvathi.v@laderatechnology.com","ad1d4b99-bb12-476b-9980-b4fdc5e3b5a0","80","PASS","08ebea1b-1975-4b46-a341-afa0244a5752"
"2026-05-28 10:05:56.449000000","parvathi.v@laderatechnology.com","2026-05-28 10:05:56.449000000","parvathi.v@laderatechnology.com","a64719d2-ca5d-475e-9d01-32da2c570ff7","80","PASS","419e3608-f53e-4bc1-8ab3-5bc6da15f822"
"2026-05-29 07:46:18.806000000","parvathi.v@laderatechnology.com","2026-05-29 07:46:18.806000000","parvathi.v@laderatechnology.com","c9221b5d-30d9-403a-8dcb-2f0fa152fc46","80","PASS","82455385-acfa-458e-a7e4-f5381bd3fa89"
"2026-05-29 07:55:39.153000000","parvathi.v@laderatechnology.com","2026-05-29 07:55:39.153000000","parvathi.v@laderatechnology.com","e2a21096-e05e-4154-b56d-c4a5c80f9752","60","PASS","9617949b-3ee5-4560-8bb2-b1bb0cef902f"
"2026-05-29 08:04:19.365000000","parvathi.v@laderatechnology.com","2026-05-29 08:04:45.357000000","parvathi.v@laderatechnology.com","1a8ed4b9-c5f0-44f5-908f-48e4e5fac140","90","PASS","d3e8acb7-3eee-4b9f-a23f-c24c849e574d"

